"","real","mean","variance","bias","mse"
"mle.y1",10,9.79214672001133,4.34897707648544,-0.207853279988672,4.39218006248749
"mle.y2",10,9.77775627783925,4.26309639386349,-0.222243722160753,4.31248866590336
"mme.y1",10,9.97535306122449,4.52490463570394,-0.0246469387755095,4.52551210729495
"mme.y2",10,9.96096306122449,4.4397653734422,-0.0390369387755101,4.44128925603116
"mle.boot.y1",10,9.97588210043227,4.52456755204234,-0.0241178995677327,4.5251492251219
"mle.boot.y2",10,9.9615296690245,4.43687713231908,-0.0384703309754979,4.43835709868445
"mme.boot.y1",10,9.97703277387755,4.54518705336353,-0.0229672261224483,4.54571454683929
"mme.boot.y2",10,9.96189127387755,4.45354282367948,-0.0381087261224486,4.45499509868616
