"","real","mean","variance","bias","mse"
"mle.y1",10,9.7201517669539,64.6365921472284,-0.279848233046099,64.7149071807674
"mle.y2",100,99.7477013023399,66.2619782871675,-0.252298697660081,66.3256329200085
"mme.y1",10,10.3714062162162,69.5738392400089,0.371406216216217,69.711781817453
"mme.y2",100,99.8989276576577,84.3381958470883,-0.101072342342349,84.3484114654749
"mle.boot.y1",10,9.28996079639467,83.9346039230367,-0.710039203605334,84.4387595936932
"mle.boot.y2",100,99.3171130949027,85.566424610856,-0.682886905097263,86.0327591360094
"mme.boot.y1",10,9.37435533603604,84.866373373803,-0.625644663963964,85.2578046193496
"mme.boot.y2",100,99.8871057673874,84.40660950395,-0.112894232612618,84.4193546117071
