"","real","mean","variance","bias","mse"
"mle.y1",10,9.59928293332622,7.83548474606206,-0.400717066673783,7.9960589135857
"mle.y2",10,9.57928226018385,7.11148416567488,-0.420717739816149,7.28848758227089
"mme.y1",10,9.99994444444444,8.50996196998723,-5.55555555550313e-05,8.50996197307365
"mme.y2",10,9.97994444444444,7.79720564814815,-0.0200555555555564,7.79760787345679
"mle.boot.y1",10,10.006206540735,9.00112627348562,0.00620654073498628,9.00116479463352
"mle.boot.y2",10,9.98460524060563,8.04322418599728,-0.0153947593943737,8.04346118461409
"mme.boot.y1",10,9.92021111111111,8.35648082149851,-0.0797888888888885,8.36284708828864
"mme.boot.y2",10,9.93323333333333,7.46692578701575,-0.0667666666666662,7.47138357479353
