"","real","mean","variance","bias","mse"
"mle.y1",10,9.85716947607894,2.8359794256153,-0.142830523921061,2.85637998417886
"mle.y2",10,9.85754265066357,2.86831743079558,-0.14245734933643,2.88861152717554
"mme.y1",10,9.98114216216216,2.92372998865569,-0.018857837837837,2.9240856067036
"mme.y2",10,9.9815154954955,2.95566372128777,-0.0184845045045048,2.95600539819455
"mle.boot.y1",10,9.97808728389372,2.90280486441512,-0.021912716106284,2.90328503154227
"mle.boot.y2",10,9.97833374861696,2.93454503052318,-0.0216662513830439,2.93501445697217
"mme.boot.y1",10,9.98411462288288,2.92731897359978,-0.015885377117117,2.92757131880593
"mme.boot.y2",10,9.98357011621622,2.95644180576819,-0.0164298837837844,2.95671174684934
