"","real","mean","variance","bias","mse"
"mle.y1",10,10.2424182253417,150.683186373981,0.242418225341718,150.741952969959
"mle.y2",100,100.180828537803,153.409222341756,0.180828537803421,153.44192130184
"mme.y1",10,11.9592633333333,178.463449651592,1.95926333333333,182.302162460937
"mme.y2",100,99.6612091666667,257.077612993024,-0.338790833333334,257.192392221774
"mle.boot.y1",10,8.89948755120444,216.297208829797,-1.10051244879556,217.508336479751
"mle.boot.y2",100,98.8419887955252,218.4173825142,-1.15801120447478,219.758372463889
"mme.boot.y1",10,9.27838627,224.192907618223,-0.72161373,224.713633993548
"mme.boot.y2",100,99.6625059566667,258.181648851193,-0.337494043333336,258.295551080478
