"","real","mean","variance","bias","mse"
"mle.y1",100,98.6052595492088,197.1481497941,-1.39474045079123,199.093450719174
"mle.y2",100,98.541323636828,197.162032214015,-1.45867636317205,199.289768946491
"mme.y1",100,99.5948463131313,201.061211789366,-0.405153686868687,201.225361299349
"mme.y2",100,99.5309113131313,201.07394947659,-0.469088686868687,201.293993672739
"mle.boot.y1",100,99.5625158512849,201.358487563163,-0.437484148715086,201.54987994354
"mle.boot.y2",100,99.498088335092,201.259648456796,-0.501911664907951,201.511563776167
"mme.boot.y1",100,99.6072622568687,201.638537930257,-0.392737743131306,201.792780865137
"mme.boot.y2",100,99.5434540668687,201.581031509048,-0.456545933131309,201.789465698107
