"","real","mean","variance","bias","mse"
"mle.y1",100,100.609770254405,147.288579600117,0.609770254404609,147.660399363274
"mle.y2",10,10.6205399746835,143.625593335056,0.62053997468346,144.010663195236
"mme.y1",100,100.445503333333,244.033577257507,0.445503333333335,244.232050477518
"mme.y2",10,12.461895,171.447027369882,2.461895,177.507954360907
"mle.boot.y1",100,99.3793170286299,211.988055079525,-0.620682971370073,212.373302430474
"mle.boot.y2",10,9.39021146259707,208.903928245379,-0.609788537402931,209.275770305727
"mme.boot.y1",100,100.445549775,244.859951724142,0.445549775000003,245.058466326144
"mme.boot.y2",10,9.86679798833333,216.923913509411,-0.133202011666667,216.941656285323
