"","real","mean","variance","bias","mse"
"mle.y1",10,9.92379637881035,2.08469731289608,-0.076203621189654,2.0905043047785
"mle.y2",10,9.90685590215408,2.10093462471999,-0.093144097845915,2.10961044768352
"mme.y1",10,10.0159545959596,2.13091338558831,0.0159545959595953,2.13116793472055
"mme.y2",10,9.9990145959596,2.1464986735151,-0.000985404040404703,2.14649964453623
"mle.boot.y1",10,10.0177140044766,2.13455578234819,0.0177140044766464,2.13486956830279
"mle.boot.y2",10,10.0010716566082,2.1511333713834,0.00107165660817188,2.15113451983129
"mme.boot.y1",10,10.0146815832323,2.13793078517265,0.0146815832323242,2.13814633405886
"mme.boot.y2",10,9.99736904323232,2.15213947621697,-0.00263095676767655,2.15214639815048
