"","real","mean","variance","bias","mse"
"mle.y1",100,98.4739010742131,253.596918743741,-1.52609892578693,255.925896675029
"mle.y2",100,98.5010875333682,254.035815227507,-1.49891246663182,256.282553810131
"mme.y1",100,99.7949991891892,260.460095601513,-0.205000810810816,260.502120933946
"mme.y2",100,99.8221858558558,260.903991385554,-0.177814144144151,260.935609255412
"mle.boot.y1",100,99.7847074785285,260.743721098163,-0.215292521471454,260.790071967964
"mle.boot.y2",100,99.8123533668587,261.231980922293,-0.18764663314127,261.267192181223
"mme.boot.y1",100,99.7932770124324,260.744133715271,-0.206722987567574,260.78686810886
"mme.boot.y2",100,99.8192174790991,261.293898188576,-0.180782520900905,261.32658050844
