"","real","mean","variance","bias","mse"
"mle.y1",100,96.0199036385528,804.505489361027,-3.98009636144718,820.346656407432
"mle.y2",100,95.9839068972448,806.140025485579,-4.01609310275518,822.269029295577
"mme.y1",100,99.9934425,872.919359930548,-0.00655749999999955,872.919402931354
"mme.y2",100,99.9574425,874.584307931215,-0.0425575000000009,874.586119072021
"mle.boot.y1",100,99.8074877253413,870.500911306274,-0.192512274658739,870.537972282168
"mle.boot.y2",100,99.7690484852109,872.188887401645,-0.23095151478914,872.242226003829
"mme.boot.y1",100,100.007341961667,878.741821355717,0.00734196166666834,878.741875260118
"mme.boot.y2",100,99.9726408816667,880.130135584078,-0.0273591183333366,880.130884105434
