"","real","mean","variance","bias","mse"
"mle.y1",10,9.70985911820738,78.532426594094,-0.290140881792619,78.6166083253814
"mle.y2",100,99.7368098563077,80.6357248802613,-0.263190143692256,80.7049939319981
"mme.y1",10,10.6393904081633,86.2438166481754,0.639390408163266,86.6526367422266
"mme.y2",100,99.7860775510204,113.244813683793,-0.213922448979588,113.290576497971
"mle.boot.y1",10,9.00192379110872,107.698860802486,-0.998076208891282,108.69501692124
"mle.boot.y2",100,99.028301487312,109.561590080666,-0.971698512687979,110.505788080226
"mme.boot.y1",10,9.18101812857143,108.844448365019,-0.818981871428571,109.515179670747
"mme.boot.y2",100,99.7942101857143,113.791962278233,-0.205789814285708,113.834311725897
