"","real","mean","variance","bias","mse"
"mle.y1",100,99.7070970279194,52.3045833902032,-0.292902972080626,52.3903755412569
"mle.y2",10,9.71820573408317,51.2747444969257,-0.281794265916828,51.3541525052293
"mme.y1",100,99.9740506060606,62.245173350728,-0.0259493939393991,62.2458467217738
"mme.y2",10,10.2540475757576,54.4236641042178,0.254047575757575,54.4882042749661
"mle.boot.y1",100,99.4518153947658,65.1535703883952,-0.548184605234226,65.454076749811
"mle.boot.y2",10,9.46164422847984,64.1601653929874,-0.538355771520155,64.4499923297164
"mme.boot.y1",100,99.9772381732323,62.1949308295588,-0.0227618267676775,62.1954489303167
"mme.boot.y2",10,9.5660142769697,64.7741124180953,-0.433985723030304,64.9624560258895
