"","real","mean","variance","bias","mse"
"mle.y1",10,9.60726211653154,51.8175313108682,-0.392737883468458,51.9717743559795
"mle.y2",100,99.6051279958418,52.2769268128967,-0.394872004158159,52.4328507125646
"mme.y1",10,10.156805,55.2378846900031,0.156805,55.2624724980281
"mme.y2",100,99.8586434848485,63.0703881771927,-0.141356515151514,63.0903698415684
"mle.boot.y1",10,9.31394958863116,64.6208029204741,-0.686050411368843,65.0914680874135
"mle.boot.y2",100,99.3120494762662,64.9768267983547,-0.687950523733804,65.4501027214603
"mme.boot.y1",10,9.46818957323232,66.2075536286117,-0.531810426767677,66.4903759586305
"mme.boot.y2",100,99.8827882588889,63.3352411156016,-0.117211741111106,63.3489797078559
