"","real","mean","variance","bias","mse"
"mle.y1",100,99.8157124652917,66.1329425490624,-0.184287534708261,66.1669044445113
"mle.y2",10,9.8393302821102,65.3334792608409,-0.160669717889805,65.3592940190877
"mme.y1",100,99.9699453153153,84.3826125941434,-0.0300546846846856,84.3835158782149
"mme.y2",10,10.5086481981982,69.7482969969846,0.508648198198198,70.0070199865149
"mle.boot.y1",100,99.3780406469635,85.178465599656,-0.621959353036502,85.5652990364855
"mle.boot.y2",10,9.40205247475264,84.5429057565837,-0.597947525247358,84.9004469995331
"mme.boot.y1",100,99.9799501034234,84.6824389720464,-0.0200498965765803,84.6828409703991
"mme.boot.y2",10,9.53923016936937,85.4214595802481,-0.46076983063063,85.6337684170675
