"","real","mean","variance","bias","mse"
"mle.y1",100,98.1377469880628,397.349958239476,-1.86225301193721,400.817944519945
"mle.y2",100,98.108188087616,397.589792744265,-1.89181191238399,401.168745056103
"mme.y1",100,100.12536,413.601456318926,0.125360000000001,413.617171448526
"mme.y2",100,100.0958,413.846518658063,0.095799999999997,413.855696298063
"mle.boot.y1",100,100.06499994022,413.974439814834,0.0649999402199626,413.978664807063
"mle.boot.y2",100,100.035906282218,413.977711805157,0.0359062822184484,413.979001066259
"mme.boot.y1",100,100.135849090612,414.67458462989,0.13584909061224,414.69303960531
"mme.boot.y2",100,100.106680610612,414.873507669137,0.106680610612244,414.884888421818
